ticket_id,product,raw_category,normalized_category,issue_description,resolution_notes,priority,normalized_priority,status,channel,region,subscription_type,previous_tickets,customer_satisfaction_score,first_response_time_hours,resolution_time_hours,escalated,sla_breached,issue_complexity_score,customer_segment,expected_department,expected_sources
134208,CRM Platform,Refund Request,technical_bug,I found a bug in the latest update affecting report generation.,The issue was escalated to engineering and resolved in the latest patch.,High,high,Open,Social Media,South America,Basic,14,1,56.68,97.03,No,Yes,3,Small Business,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
46923,Mobile App,Login Issue,technical_bug,I am experiencing very slow performance while using the dashboard.,Bug logged internally and workaround shared with the customer.,Low,low,Closed,Web Form,Europe,Premium,13,3,26.88,87.55,No,Yes,3,Individual,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
157913,Cloud Storage,Subscription Cancellation,technical_bug,The application crashes whenever I try to upload a file.,Bug logged internally and workaround shared with the customer.,Medium,medium,Pending Customer,Chat,South America,Premium,14,1,30.86,126.86,No,No,2,Corporate,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md']"
120890,Mobile App,Security Concern,technical_bug,I am experiencing very slow performance while using the dashboard.,Subscription status corrected and confirmation email sent to customer.,High,high,Open,Web Form,Australia,Free,0,3,11.67,12.33,No,No,7,Small Business,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
36783,API Service,Account Suspension,technical_bug,The application crashes whenever I try to upload a file.,Security settings updated and customer notified of precautionary measures.,Urgent,urgent,Closed,Phone,North America,Enterprise,5,4,24.72,1.35,Yes,Yes,3,Corporate,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
199768,Analytics Dashboard,Login Issue,technical_bug,I am experiencing very slow performance while using the dashboard.,The duplicate charge was reversed and refund processed within 3-5 business days.,Urgent,urgent,Open,Email,Europe,Basic,18,3,0.75,113.42,No,Yes,1,Corporate,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
184112,API Service,Feature Request,technical_bug,The system is not syncing data across devices properly.,The issue was escalated to engineering and resolved in the latest patch.,High,high,Open,Phone,Australia,Basic,20,4,50.86,186.51,No,Yes,7,Small Business,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
166364,Subscription Service,Security Concern,technical_bug,The system is not syncing data across devices properly.,Provided step-by-step troubleshooting instructions and issue resolved.,Low,low,Resolved,Email,North America,Free,8,3,23.41,232.68,No,Yes,7,Individual,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
95539,Web Portal,Feature Request,technical_bug,The application crashes whenever I try to upload a file.,Subscription status corrected and confirmation email sent to customer.,Low,low,Pending Customer,Chat,Europe,Premium,16,1,1.3,161.01,Yes,Yes,9,Individual,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
191238,API Service,Feature Request,technical_bug,I am experiencing very slow performance while using the dashboard.,Data synchronization restored after backend service restart.,Urgent,urgent,Open,Chat,Africa,Premium,3,2,7.08,3.93,Yes,Yes,6,Small Business,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
105029,Cloud Storage,Performance Issue,technical_bug,I found a bug in the latest update affecting report generation.,Bug logged internally and workaround shared with the customer.,Low,low,Resolved,Social Media,North America,Basic,17,3,8.84,204.24,Yes,No,10,Small Business,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
153413,Payment Gateway,Refund Request,technical_bug,I found a bug in the latest update affecting report generation.,Explained billing breakdown and clarified applicable charges.,Medium,medium,Closed,Phone,Asia,Free,1,2,45.51,123.48,Yes,Yes,8,Corporate,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
138709,Payment Gateway,Feature Request,technical_bug,I found a bug in the latest update affecting report generation.,The duplicate charge was reversed and refund processed within 3-5 business days.,Urgent,urgent,Pending Customer,Social Media,North America,Enterprise,6,3,19.62,145.64,Yes,Yes,10,Corporate,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
